Area;Endpoint;Method;Category;TestCaseID;Test Case Title;Preconditions;Test Data / Request;Steps;Expected Result;Expected HTTP Status;Priority;AI vs Manual;Notes
Pet;/pet;POST;Positive;TC-001;Create pet with valid JSON body;Swagger Petstore API available;"{
  ""id"": 91001,
  ""category"": {
    ""id"": 1,
    ""name"": ""Dogs""
  },
  ""name"": ""AzizaTestDog"",
  ""photoUrls"": [
    ""https://example.com/dog.jpg""
  ],
  ""tags"": [
    {
      ""id"": 1,
      ""name"": ""automation""
    }
  ],
  ""status"": ""available""
}";"1. Open Swagger UI or API client
2. Execute POST /pet
3. Validate status code and response body";Pet is created and response contains id, name and status.;200 / successful operation;High;AI generated + manually refined;
Pet;/pet;POST;Negative;TC-002;Reject invalid input for Add a new pet to the store;Swagger Petstore API available;"{
  ""invalid"": ""body"",
  ""id"": ""abc""
}";"1. Open Swagger UI or API client
2. Execute POST /pet
3. Validate status code and response body";API should reject invalid request and return client error instead of server error.;400 / 404 / default error expected;High;AI generated + manually refined;Manual validation needed because public Petstore may behave inconsistently.
Pet;/pet;POST;Edge Case;TC-003;Boundary and unusual values for Add a new pet to the store;Swagger Petstore API available;Boundary values, null fields, long strings, missing optional fields;"1. Open Swagger UI or API client
2. Execute POST /pet
3. Validate status code and response body";API handles boundary values without crashing.;200 or controlled 4xx;Medium;AI generated + manually refined;
Pet;/pet;POST;Security;TC-004;Injection and unauthorized input for Add a new pet to the store;Swagger Petstore API available;"{
  ""username"": ""'; DROP TABLE users;--"",
  ""name"": ""<script>alert('xss')</script>"",
  ""admin"": true
}";"1. Open Swagger UI or API client
2. Execute POST /pet
3. Validate status code and response body";API must not execute injected input, must not expose sensitive error details, and must not grant unauthorized access.;4xx or sanitized response;High;AI generated + manually refined;Security test: SQL injection, XSS, unexpected fields, oversized payload.
Pet;/pet;POST;Business Logic;TC-005;Business rule validation for Add a new pet to the store;Swagger Petstore API available;Create/update/delete pet lifecycle: create pet, retrieve it, update status, then delete and verify not found.;"1. Open Swagger UI or API client
2. Execute POST /pet
3. Validate status code and response body";"Pet lifecycle remains consistent; deleted pet should not be retrievable.";200 or controlled business error;High;Manual QA refinement;
Pet;/pet;PUT;Positive;TC-006;Update existing pet with valid JSON body;Pet with id 91001 exists;"{
  ""id"": 91001,
  ""category"": {
    ""id"": 1,
    ""name"": ""Dogs""
  },
  ""name"": ""AzizaUpdatedDog"",
  ""photoUrls"": [
    ""https://example.com/dog.jpg""
  ],
  ""tags"": [
    {
      ""id"": 1,
      ""name"": ""automation""
    }
  ],
  ""status"": ""sold""
}";"1. Open Swagger UI or API client
2. Execute PUT /pet
3. Validate status code and response body";Existing pet is updated and response contains updated fields.;200 / successful operation;High;AI generated + manually refined;
Pet;/pet;PUT;Negative;TC-007;Reject invalid input for Update an existing pet;Swagger Petstore API available;"{
  ""invalid"": ""body"",
  ""id"": ""abc""
}";"1. Open Swagger UI or API client
2. Execute PUT /pet
3. Validate status code and response body";API should reject invalid request and return client error instead of server error.;400 / 404 / default error expected;High;AI generated + manually refined;Manual validation needed because public Petstore may behave inconsistently.
Pet;/pet;PUT;Edge Case;TC-008;Boundary and unusual values for Update an existing pet;Swagger Petstore API available;Boundary values, null fields, long strings, missing optional fields;"1. Open Swagger UI or API client
2. Execute PUT /pet
3. Validate status code and response body";API handles boundary values without crashing.;200 or controlled 4xx;Medium;AI generated + manually refined;
Pet;/pet;PUT;Security;TC-009;Injection and unauthorized input for Update an existing pet;Swagger Petstore API available;"{
  ""username"": ""'; DROP TABLE users;--"",
  ""name"": ""<script>alert('xss')</script>"",
  ""admin"": true
}";"1. Open Swagger UI or API client
2. Execute PUT /pet
3. Validate status code and response body";API must not execute injected input, must not expose sensitive error details, and must not grant unauthorized access.;4xx or sanitized response;High;AI generated + manually refined;Security test: SQL injection, XSS, unexpected fields, oversized payload.
Pet;/pet;PUT;Business Logic;TC-010;Business rule validation for Update an existing pet;Swagger Petstore API available;Create/update/delete pet lifecycle: create pet, retrieve it, update status, then delete and verify not found.;"1. Open Swagger UI or API client
2. Execute PUT /pet
3. Validate status code and response body";"Pet lifecycle remains consistent; deleted pet should not be retrievable.";200 or controlled business error;High;Manual QA refinement;
